1433471304.95, [-527, 1004, 4981], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.07, [-527, 1002, 4984], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.19, [-532, 1006, 4980], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.31, [-529, 1003, 4969], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.43, [-525, 1004, 4983], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.55, [-531, 1002, 4985], [-126, 6, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.68, [-534, 1005, 4988], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.8, [-532, 1002, 4976], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471305.92, [-531, 1005, 4979], [-127, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.04, [-528, 1006, 4980], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.16, [-534, 999, 4977], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.31, [-525, 1001, 4978], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.41, [-527, 1004, 4982], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.52, [-522, 1004, 4976], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.67, [-524, 1007, 4981], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.79, [-524, 1006, 4985], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471306.9, [-528, 1009, 4968], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.02, [-530, 1009, 4975], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.14, [-528, 1011, 4979], [-127, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.26, [-532, 1010, 4986], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
