timestamp,speed,count,duration
2015-06-05 17:58:24.122112,15,42,0:05:00.482944
2015-06-05 17:58:27.897986,15,43,0:05:04.258818
2015-06-05 17:58:33.225025,12,44,0:05:09.585857
2015-06-05 17:58:36.936832,12,45,0:05:13.297664
2015-06-05 17:59:18.494738,20,46,0:05:54.855570
2015-06-05 17:59:18.662804,,47,0:05:55.023636
2015-06-05 17:59:22.638631,20,48,0:05:58.999463
2015-06-05 17:59:36.365611,14,49,0:06:12.726443
2015-06-05 17:59:36.613782,,50,0:06:12.974614
2015-06-05 17:59:38.173748,15,51,0:06:14.534580
2015-06-05 17:59:40.693626,12,52,0:06:17.054458
2015-06-05 17:59:42.749484,12,53,0:06:19.110316
2015-06-05 17:59:42.957680,,54,0:06:19.318512
2015-06-05 17:59:45.629521,13,55,0:06:21.990353
2015-06-05 17:59:49.381151,,56,0:06:25.741983
2015-06-05 17:59:55.035710,12,57,0:06:31.396542
2015-06-05 18:00:00.092157,13,58,0:06:36.452989
2015-06-05 18:00:03.044447,12,59,0:06:39.405279
2015-06-05 18:00:06.452402,12,60,0:06:42.813234
2015-06-05 18:00:42.126003,15,61,0:07:18.486835
2015-06-05 18:00:44.278021,18,62,0:07:20.638853
2015-06-05 18:00:45.214005,,63,0:07:21.574837
2015-06-05 18:00:46.078010,12,64,0:07:22.438842
2015-06-05 18:00:49.173876,11,65,0:07:25.534708
2015-06-05 18:00:51.597874,,66,0:07:27.958706
2015-06-05 18:00:52.837846,12,67,0:07:29.198678
2015-06-05 18:00:54.717763,,68,0:07:31.078595
2015-06-05 18:00:56.509703,,69,0:07:32.870535
2015-06-05 18:00:59.749619,12,70,0:07:36.110451
2015-06-05 18:01:05.872900,15,71,0:07:42.233732
2015-06-05 18:01:12.742346,14,72,0:07:49.103178
2015-06-05 18:01:18.255077,,73,0:07:54.615909
2015-06-05 18:01:40.989833,10,74,0:08:17.350665
2015-06-05 18:01:44.269779,11,75,0:08:20.630611
2015-06-05 18:02:00.969209,12,76,0:08:37.330041
2015-06-05 18:02:04.569101,15,77,0:08:40.929933
2015-06-05 18:02:04.824917,,78,0:08:41.185749
2015-06-05 18:02:07.809184,12,79,0:08:44.170016
2015-06-05 18:02:08.009017,,80,0:08:44.369849
2015-06-05 18:02:10.176773,11,81,0:08:46.537605
2015-06-05 18:02:13.168896,,82,0:08:49.529728
2015-06-05 18:02:14.448870,13,83,0:08:50.809702
2015-06-05 18:02:16.577089,14,84,0:08:52.937921
2015-06-05 18:02:19.032604,13,85,0:08:55.393436
2015-06-05 18:02:22.072636,14,86,0:08:58.433468
2015-06-05 18:02:22.800797,,87,0:08:59.161629
2015-06-05 18:02:38.469763,,88,0:09:14.830595
2015-06-05 18:02:54.684014,15,89,0:09:31.044846
2015-06-05 18:02:56.715849,18,90,0:09:33.076681
2015-06-05 18:03:08.443081,13,91,0:09:44.803913
2015-06-05 18:03:08.651090,,92,0:09:45.011922
2015-06-05 18:03:09.939070,,93,0:09:46.299902
2015-06-05 18:03:14.471762,16,94,0:09:50.832594
2015-06-05 18:03:14.687761,,95,0:09:51.048593
2015-06-05 18:03:50.036284,25,96,0:10:26.397116
2015-06-05 18:03:55.180266,19,97,0:10:31.541098
2015-06-05 18:03:58.243802,18,98,0:10:34.604634
2015-06-05 18:03:59.507842,,99,0:10:35.868674
2015-06-05 18:04:01.563833,,100,0:10:37.924665
2015-06-05 18:04:02.195685,15,101,0:10:38.556517
2015-06-05 18:04:04.771676,15,102,0:10:41.132508
2015-06-05 18:04:09.106132,,103,0:10:45.466964
2015-06-05 18:04:09.898288,13,104,0:10:46.259120
2015-06-05 18:04:10.250101,,105,0:10:46.610933
2015-06-05 18:04:11.706240,12,106,0:10:48.067072
2015-06-05 18:04:13.450140,,107,0:10:49.810972
2015-06-05 18:04:14.554108,13,108,0:10:50.914940
2015-06-05 18:04:20.334734,12,109,0:10:56.695566
2015-06-05 18:04:32.989691,1,110,0:11:09.350523
2015-06-05 18:05:01.488496,,111,0:11:37.849328
2015-06-05 18:05:04.168478,,112,0:11:40.529310
2015-06-05 18:05:05.992466,10,113,0:11:42.353298
2015-06-05 18:05:06.368522,,114,0:11:42.729354
2015-06-05 18:05:09.528345,,115,0:11:45.889177
2015-06-05 18:05:11.680287,,116,0:11:48.041119
2015-06-05 18:05:12.800234,14,117,0:11:49.161066
2015-06-05 18:05:13.272050,,118,0:11:49.632882
2015-06-05 18:05:14.824252,18,119,0:11:51.185084
2015-06-05 18:05:17.960034,14,120,0:11:54.320866
2015-06-05 18:05:20.552118,16,121,0:11:56.912950
2015-06-05 18:05:24.408011,15,122,0:12:00.768843
2015-06-05 18:05:29.633292,16,123,0:12:05.994124
2015-06-05 18:05:51.252055,19,124,0:12:27.612887
2015-06-05 18:05:51.764041,,125,0:12:28.124873
2015-06-05 18:05:54.259963,25,126,0:12:30.620795
2015-06-05 18:05:55.387993,20,127,0:12:31.748825
2015-06-05 18:05:56.883938,19,128,0:12:33.244770
2015-06-05 18:06:00.531699,20,129,0:12:36.892531
2015-06-05 18:06:01.667565,23,130,0:12:38.028397
2015-06-05 18:06:06.887525,15,131,0:12:43.248357
2015-06-05 18:06:10.567643,13,132,0:12:46.928475
2015-06-05 18:06:39.872339,18,133,0:13:16.233171
2015-06-05 18:06:51.641391,22,134,0:13:28.002223
2015-06-05 18:06:54.225338,16,135,0:13:30.586170
2015-06-05 18:06:55.769287,21,136,0:13:32.130119
2015-06-05 18:07:02.329096,14,137,0:13:38.689928
2015-06-05 18:07:03.817023,15,138,0:13:40.177855
2015-06-05 18:07:09.126085,14,139,0:13:45.486917
2015-06-05 18:07:12.381836,15,140,0:13:48.742668
2015-06-05 18:07:17.393397,,141,0:13:53.754229
2015-06-05 18:07:31.523153,11,142,0:14:07.883985
2015-06-05 18:07:54.919974,16,143,0:14:31.280806
2015-06-05 18:08:02.127162,15,144,0:14:38.487994
2015-06-05 18:08:02.303128,,145,0:14:38.663960
2015-06-05 18:08:04.039321,17,146,0:14:40.400153
2015-06-05 18:08:04.223173,,147,0:14:40.584005
2015-06-05 18:08:05.774873,17,148,0:14:42.135705
2015-06-05 18:08:08.559056,15,149,0:14:44.919888
2015-06-05 18:08:10.478972,16,150,0:14:46.839804
2015-06-05 18:08:14.150925,15,151,0:14:50.511757
2015-06-05 18:08:17.950786,14,152,0:14:54.311618
2015-06-05 18:08:20.302706,14,153,0:14:56.663538
2015-06-05 18:08:23.766648,16,154,0:15:00.127480
2015-06-05 18:08:50.539405,,155,0:15:26.900237
2015-06-05 18:08:52.179359,,156,0:15:28.540191
2015-06-05 18:08:54.091464,,157,0:15:30.452296
2015-06-05 18:08:54.651461,,158,0:15:31.012293
2015-06-05 18:08:56.635402,,159,0:15:32.996234
2015-06-05 18:09:00.755190,12,160,0:15:37.116022
2015-06-05 18:09:07.016034,22,161,0:15:43.376866
2015-06-05 18:09:09.695940,18,162,0:15:46.056772
2015-06-05 18:09:21.511172,17,163,0:15:57.872004
2015-06-05 18:09:53.848681,25,164,0:16:30.209513
2015-06-05 18:09:54.904699,23,165,0:16:31.265531
2015-06-05 18:10:00.912896,19,166,0:16:37.273728
2015-06-05 18:10:10.148902,19,167,0:16:46.509734
2015-06-05 18:10:12.372999,20,168,0:16:48.733831
2015-06-05 18:10:12.532856,,169,0:16:48.893688
2015-06-05 18:10:27.694372,,170,0:17:04.055204
